
User: 1000, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 1500.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1000, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 1500.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1000, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 1500.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1000, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 1500.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Deposit , Amount: 500,New Balance: 700.00
User: 1003, Time: Wednesday 26 August 2022,Transaction Type: Withdrawal , Amount: 50,New Balance: 650.00
